"timestamp","source_path","destination_path","category","confidence","action_taken","rename_collision_notes"
"2026-04-03T22:00:53.0903391-04:00","C:\Users\riley\OneDrive - Conestoga College\Project_2.ACD","C:\Users\riley\Drive-Staging\School\05_Projects\PLC_Project_2\Project_2.ACD","School","medium-high","skipped_confidence_threshold","Not executed because confidence is below strict high-confidence threshold"
"2026-04-03T22:00:53.0903391-04:00","C:\Users\riley\OneDrive - Conestoga College\RileyPRO2.ACD","C:\Users\riley\Drive-Staging\School\05_Projects\PLC_Project_2\RileyPRO2.ACD","School","medium-high","skipped_confidence_threshold","Not executed because confidence is below strict high-confidence threshold"
"2026-04-03T22:00:53.0903391-04:00","C:\Users\riley\OneDrive - Conestoga College\PLC Project 2 Simplified.pdf","C:\Users\riley\Drive-Staging\School\05_Projects\PLC_Project_2\PLC Project 2 Simplified.pdf","School","high","moved",""
"2026-04-03T22:00:53.0936019-04:00","C:\Users\riley\Downloads\PLC Project 2 Simplified.pdf","C:\Users\riley\Drive-Staging\Archive\05_Duplicate_Review\PLC Project 2 Simplified.pdf","Archive","high","moved",""
"2026-04-03T22:00:53.0970647-04:00","C:\Users\riley\Desktop\School\Engineering Drawing","C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Engineering Drawing","School","high","moved",""
"2026-04-03T22:00:53.1126037-04:00","C:\Users\riley\Desktop\School\Assignment 5 Drawing Files","C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Assignment 5 Drawing Files","School","high","moved",""
"2026-04-03T22:00:53.1156091-04:00","C:\Users\riley\Documents\Assignment 1 Drawing 1.dwg","C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Assignment 1 Drawing 1.dwg","School","high","moved",""
"2026-04-03T22:00:53.1176081-04:00","C:\Users\riley\Documents\Assignment 2 New Drawing.dwg","C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Assignment 2 New Drawing.dwg","School","high","moved",""
"2026-04-03T22:00:53.1196075-04:00","C:\Users\riley\Desktop\Co-op Resume.pdf","C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Co-op Resume.pdf","School","high","moved",""
"2026-04-03T22:00:53.1216074-04:00","C:\Users\riley\Downloads\Co-op Resume.pdf","C:\Users\riley\Drive-Staging\Archive\05_Duplicate_Review\Co-op Resume.pdf","Archive","medium-high","skipped_confidence_threshold","Not executed because confidence is below strict high-confidence threshold"
"2026-04-03T22:00:53.1216074-04:00","C:\Users\riley\Downloads\Riley_Jamesway_Cover_Letter.pdf","C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Applications\Riley_Jamesway_Cover_Letter.pdf","School","high","moved",""
"2026-04-03T22:00:53.1241152-04:00","C:\Users\riley\Downloads\Eclipse_Coop_Cover_Letter.pdf","C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Applications\Eclipse_Coop_Cover_Letter.pdf","School","high","moved",""
"2026-04-03T22:00:53.1266234-04:00","C:\Users\riley\Documents\New project\resume_preview.png","C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Resume_Tooling\resume_preview.png","School","medium","skipped_confidence_threshold","Not executed because confidence is below strict high-confidence threshold"
"2026-04-03T22:00:53.1266234-04:00","C:\Users\riley\Documents\New project\build_coop_resume_optimized.py","C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Resume_Tooling\build_coop_resume_optimized.py","School","medium","skipped_confidence_threshold","Not executed because confidence is below strict high-confidence threshold"
"2026-04-03T22:00:53.1266234-04:00","C:\Users\riley\Pictures\iPhone CAmera","C:\Users\riley\Drive-Staging\Personal\03_Photos_Exports\iPhone CAmera","Personal","high","moved",""
"2026-04-03T22:00:53.1401286-04:00","C:\Users\riley\Videos","C:\Users\riley\Drive-Staging\Personal\04_Videos_Exports\Videos","Personal","high","moved",""
"2026-04-03T22:00:53.1446314-04:00","C:\Users\riley\My project","C:\Users\riley\Drive-Staging\Personal\06_Creative\My project","Personal","high","moved",""
"2026-04-03T22:00:56.6916038-04:00","C:\Users\riley\Pictures\Screenshots","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Screenshots","Archive","low","skipped_confidence_threshold","Not executed because confidence is below strict high-confidence threshold"
"2026-04-03T22:00:56.6926017-04:00","C:\Users\riley\Documents\Virtual Machines","C:\Users\riley\Drive-Staging\Archive\06_Large_File_Review\Virtual Machines","Archive","high","skipped_excluded","Excluded from migration per exclusions report"
"2026-04-03T22:00:56.6926017-04:00","C:\Users\riley\Documents\SOLIDWORKS Downloads","C:\Users\riley\Drive-Staging\Archive\99_Do_Not_Delete\SOLIDWORKS Downloads","Archive","high","skipped_excluded","Excluded from migration per exclusions report"
"2026-04-03T22:00:56.6926017-04:00","C:\Users\riley\Desktop\School\AutoCAD 2026","C:\Users\riley\Drive-Staging\Archive\99_Do_Not_Delete\AutoCAD 2026","Archive","high","skipped_excluded","Excluded from migration per exclusions report"
"2026-04-03T22:00:56.6926017-04:00","C:\Users\riley\Desktop\Tor Browser","C:\Users\riley\Drive-Staging\Archive\99_Do_Not_Delete\Tor Browser","Archive","high","skipped_excluded","Excluded from migration per exclusions report"
"2026-04-03T22:00:56.6926017-04:00","C:\Users\riley\Downloads\OllamaSetup.exe","C:\Users\riley\Drive-Staging\Archive\06_Large_File_Review\OllamaSetup.exe","Archive","high","skipped_excluded","Excluded from migration per exclusions report"
"2026-04-03T22:00:56.6935999-04:00","C:\Users\riley\Downloads\Docker Desktop Installer.exe","C:\Users\riley\Drive-Staging\Archive\06_Large_File_Review\Docker Desktop Installer.exe","Archive","high","skipped_excluded","Excluded from migration per exclusions report"
"2026-04-03T22:00:56.6935999-04:00","C:\Users\riley\Downloads\ubuntu-24.04.4-wsl-amd64.wsl","C:\Users\riley\Drive-Staging\Archive\06_Large_File_Review\ubuntu-24.04.4-wsl-amd64.wsl","Archive","high","skipped_excluded","Excluded from migration per exclusions report"
"2026-04-03T22:00:56.6935999-04:00","C:\Users\riley\Documents\Chrome Passwords.csv","HOLD - manual secure review only","Sensitive","high","skipped_sensitive","Previously flagged for manual secure handling"
"2026-04-03T22:00:56.6935999-04:00","C:\Users\riley\Pictures\Screenshots\metamask recovery phrase.png","HOLD - manual secure review only","Sensitive","high","skipped_sensitive","Previously flagged for manual secure handling"
